participant,session_info,session_type,session_number,X Disp_mean,X Disp_std,X Disp_min,X Disp_max,Y Disp_mean,Y Disp_std,Y Disp_min,Y Disp_max,X Abs_mean,X Abs_std,X Abs_min,X Abs_max,Y Abs_mean,Y Abs_std,Y Abs_min,Y Abs_max,"Session experience (1-Low, 5-High).Stress level_y","Session experience (1-Low, 5-High).Attention_y","Session experience (1-Low, 5-High).Robot movement predictability_y","Session experience (1-Low, 5-High).Excitement_y",What caused stress for you?_y,How mentally demanding was the task?_y,How hurried or rushed was the pace of the task?_y,How hard did you have to work to accomplish your level of performance?_y,"How insecure, discouraged, irritated, stressed and annoyed were you?_y","How successful were you in accomplishing what you needed to do? (1-Failure, 20-Perfect)_y"
e1,baseline,baseline,0,1.9208835358400225,0.7858402672458618,-1.089191436767578,4.469060897827148,0.0048578334153945475,1.3786187439043884,-3.3787918090820312,4.435234069824219,133.86163736487035,15.002389121004855,76.90335273742676,190.13866424560547,164.2308155363075,25.657502748097038,107.51800537109376,270.7644844055176,,,,,,,,,,
e1,session1,session,1,-21.26312540166049,13.21176763321067,-41.99509620666504,28.233661651611328,4.7110884758219065,5.6550229055817836,-8.953895568847656,26.07246398925781,3474.590634611361,429.1102831008282,2135.696353912353,4416.193313598633,1839.3131485144963,295.1912718583924,940.7918548583984,2401.330165863037,1.0,2.0,5.0,1.0,The cameras;,1,1,1,4,20.0
e1,session2,session,2,-59.13250025346189,6.952399262126092,-76.70721530914307,-39.870872497558594,23.488841356093914,10.521257224958806,-8.277416229248047,37.51411437988281,4208.020313025519,449.1992997451939,2898.5782527923584,5315.353674888611,2577.750364407336,224.70681664155364,1824.8755645751955,2974.31697845459,2.0,3.0,3.0,2.0,The amount of blocks;The cameras;,3,3,3,2,19.0
e1,session3,session,3,-35.378082047945284,6.913958325508559,-47.57194519042969,-11.18133544921875,29.629416924640225,5.966918881943616,11.145706176757812,39.157981872558594,3359.839157838702,412.83739274587066,2073.245143890381,4178.650331497192,2845.9013422562984,267.18405160477585,1953.3906173706048,3345.85636138916,1.0,2.0,4.0,2.0,Nothing caused stress;,2,4,3,3,20.0
e1,session4,session,4,-29.929448431007035,6.310808430449173,-38.61268043518066,-8.733558654785156,4.560778390413548,10.077911602841258,-18.65755081176757,27.513160705566406,4595.117977952358,495.4986818326506,2900.070676803589,5631.286268234253,2117.7764392996432,228.19377186904956,1541.094856262207,2545.266456604004,3.0,5.0,4.0,5.0,Speed of robot(s);,10,15,8,10,19.0
e1,session5,session,5,-66.56345212808712,5.432945802692147,-79.78194236755371,-49.94793891906738,39.94156582086156,8.741723511004757,10.747432708740234,49.93011474609375,4029.353104016771,372.0035421488701,2851.017637252808,4834.757881164551,2344.8831549847973,173.40453324248156,1827.455368041992,2732.2056579589844,3.0,4.0,4.0,3.0,Nothing caused stress;,4,5,5,3,20.0
e1,session6,session,6,-19.960550104723815,14.414475079011181,-43.26250076293945,36.39514446258545,17.857409361516083,4.444491670645766,0.3843307495117187,27.718276977539062,6729.355260378147,882.3878182804702,3986.762466430664,8653.84470462799,3700.951623158475,826.405316958671,1605.343780517578,5474.106311798096,3.0,3.0,5.0,3.0,Nothing caused stress;,4,4,3,7,20.0
e1,session7,session,7,36.23114634757261,3.30130100734215,23.865365982055664,42.03778266906738,20.78557078309638,2.706553659705907,14.991989135742188,26.084213256835938,2064.4356635923664,98.39880462567282,1786.7003917694092,2310.5201053619385,1555.3528288917062,123.25909311807631,1175.9105682373047,1853.075256347656,2.0,2.0,5.0,2.0,Nothing caused stress;,3,3,3,5,20.0
e1,session8,session,8,20.831129311517692,5.248934900234766,13.132696151733398,36.887054443359375,15.786528607292654,5.933816230148903,-2.5505447387695312,30.73047637939453,3969.87073136174,477.1483958070171,2456.8686389923096,5035.79815864563,2341.4977283956614,197.92702522359653,1702.5286483764648,2724.17106628418,3.0,4.0,4.0,3.0,Nothing caused stress;,4,5,3,7,20.0
e17,baseline,baseline,0,5.520642661649313,0.8680793728998949,3.6124420166015625,7.750310897827148,9.338282621056464,1.2694304040016404,4.744377136230469,11.175670623779297,105.63335252107437,6.9502453658714,87.62426376342773,123.66891860961914,109.80488872927103,9.545949962145077,78.4835433959961,141.6615104675293,,,,,,,,,,
e17,session1,session,1,52.640810990433316,3.8098136327192544,44.250569343566895,62.79167175292969,28.04195619527266,6.525176973217457,10.046882629394531,41.16268157958984,1978.451861876324,213.97856275073033,1373.7901496887207,2456.398730278015,1050.8813752689123,106.8010782967367,699.1035461425781,1238.6810302734375,3.0,3.0,4.0,1.0,because the slowness pf the robot it gave me time to think about everything I need to do today,3,2,3,5,20.0
e17,session2,session,2,-14.415506912574608,6.821660539352104,-23.81555557250977,10.66838264465332,22.910066349237034,8.514562516550887,5.860366821289063,40.242919921875,4552.908883289313,474.39623207107024,3001.081323623657,5578.383107185364,1764.2597720812555,304.3497538614757,1015.9659576416016,2605.29447555542,2.0,3.0,2.0,3.0,Nothing caused stress,3,3,4,5,20.0
e17,session3,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,4.0,Speed of robot(s);Predictability of robot(s);The amount of blocks,10,10,7,7,18.0
e17,session4,session,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,Nothing caused stress,2,2,2,2,20.0
